CourseID,CourseName,Credits,TotalSeats,DaysMet,StartTime,EndTime,ProfName,Prerequisites
BIOL233L,RECITATION,0,17,T,13:00:00,14:15:00,"Antoszewski, Lisa",
BIOL233M,RECITATION,0,18,T,13:00:00,14:15:00,"Yowler, Brian",
BIOL233N,RECITATION,0,17,T,14:30:00,15:45:00,"Antoszewski, Lisa",
BIOL233O,RECITATION,0,18,T,14:30:00,15:45:00,"Yowler, Brian",
BIOL234A,CELL BIOLOGY,4,80,MWF,10:00:00,10:50:00,"Pazehoski, Kristina",BIOL 233
BIOL234M,LABORATORY,0,24,R,10:05:00,12:59:00,"Antoszewski, Lisa",
BIOL234N,LABORATORY,0,24,T,14:30:00,17:30:00,"Yowler, Brian",
BIOL234O,LABORATORY,0,24,R,14:30:00,17:30:00,"Yowler, Brian",
BIOL301A,ADVANCED GENETICS,4,0,TR,10:05:00,11:20:00,"Stauff, Devin",BIOL 233; BIOL 234
BIOL301L,LABORATORY,0,0,TR,11:30:00,12:45:00,"Stauff, Devin",
BIOL305A,PLANT TAXONOMY,4,24,MWF,10:00:00,10:50:00,"Dudt, Jan",BIOL 234
BIOL305L,LABORATORY,0,24,W,14:00:00,16:59:00,"Dudt, Jan",
BIOL310A,ZOONOTIC DISEASE AND PUBLIC HEALTH,4,24,TR,11:30:00,12:45:00,"Farone, Tracy",BIOL 234
BIOL310L,LABORATORY,0,24,F,13:00:00,14:59:00,"Farone, Tracy",
BIOL313A,HISTOLOGY,3,28,TR,13:00:00,14:15:00,"Farone, Tracy",BIOL 234
BIOL320A,CONSERVATION/WILDLIFE BIOLOGY,4,24,MWF,8:00:00,8:50:00,"Wood, Darren",BIOL 234
BIOL320L,LABORATORY,0,24,M,14:00:00,16:59:00,"Wood, Darren",
BIOL322A,THE BIOLOGY OF CANCER,3,65,MWF,12:00:00,12:50:00,"Antoszewski, Lisa",BIOL 234
BIOL326A,EVOLUTIONARY BIOLOGY,3,24,TR,10:05:00,11:20:00,"Dudt, Jan",BIOL 234
BIOL331A,ECOLOGY,4,24,TR,8:00:00,9:15:00,"Wood, Darren",BIOL 234
BIOL331L,LABORATORY,0,24,M,14:00:00,16:59:00,"Wood, Darren",BIOL 234 
BIOL334A,BIOCHEMISTRY FOR BIOLOGY,3,40,MWF,13:00:00,13:50:00,"Pazehoski, Kristina",BIOL 101; BIOL 102; CHEM 241
BIOL341A,HUMAN/MAMMALIAN ANATOMY,4,55,MWF,12:00:00,12:50:00,"Farone, Tracy",BIOL 234
BIOL341L,LABORATORY,0,18,M,13:00:00,14:59:00,"Farone, Tracy",
BIOL341M,LABORATORY,0,18,M,15:00:00,16:59:00,"Farone, Tracy",
BIOL341N,LABORATORY,0,19,W,13:00:00,14:59:00,"Farone, Tracy",
BIOL346A,HUMAN/MAMMALIAN PHYSIOLOGY,4,55,MWF,11:00:00,11:50:00,"Farone, Tracy",BIOL 234
BIOL346L,LABORATORY,0,28,W,15:00:00,16:59:00,"Antoszewski, Lisa",
BIOL346M,LABORATORY,0,27,T,15:00:00,16:59:00,"Farone, Tracy",
BIOL372A,CONTEMPORARY TOPICS,1,12,T,13:00:00,13:50:00,"Jenkins, Stephen",BIOL 234
BIOL390A,STUDY: MEDICAL GENETICS,4,24,TR,10:05:00,11:20:00,"Yowler, Brian",BIOL 233;  BIOL 234
BIOL390L,LABORATORY,0,24,R,14:30:00,17:30:00,"Yowler, Brian",
BIOL403A,BASIS OF WILDLIFE BEHAVIOR,3,25,MWF,8:00:00,8:50:00,"Wood, Darren",BIOL 234
BIOL407A,MICROBIOLOGY,4,40,TR,8:00:00,9:15:00,"Stauff, Devin",BIOL 234
BIOL407L,LABORATORY,0,20,TR,13:00:00,14:30:00,"Stauff, Devin",
BIOL407M,LABORATORY,0,20,TR,15:00:00,16:30:00,"Stauff, Devin",
BIOL409A,ENTOMOLOGY,4,24,MWF,9:00:00,9:50:00,"Jenkins, Stephen",BIOL 234
BIOL409L,LABORATORY,0,24,R,14:30:00,17:30:00,"Jenkins, Stephen",
BIOL488A,SEMINAR IN BIOLOGY,1,13,F,13:00:00,13:50:00,"Jenkins, Stephen",
BIOL488B,SEMINAR IN BIOLOGY,1,15,T,14:00:00,14:50:00,"Antoszewski, Lisa",
CHEM105A,CHEMISTRY FOR ENGINEERS,4,64,MWF,8:00:00,8:50:00,"Falcetta, Michael",
CHEM105B,CHEMISTRY FOR ENGINEERS,4,64,MWF,9:00:00,9:50:00,"Falcetta, Michael",
CHEM105L,LABORATORY,0,32,M,13:00:00,14:59:00,"Falcetta, Michael",
CHEM105M,LABORATORY,0,32,M,15:00:00,16:59:00,"Falcetta, Michael",
CHEM105N,LABORATORY,0,32,T,13:30:00,15:29:00,"Falcetta, Michael",
CHEM105O,LABORATORY,0,32,T,15:30:00,17:30:00,"Falcetta, Michael",
CHEM111A,GENERAL CHEMISTRY I,3,64,MWF,10:00:00,10:50:00,"Guevara, Holly",
CHEM111B,GENERAL CHEMISTRY I,3,64,MWF,11:00:00,11:50:00,"Guevara, Holly",
CHEM111O,GENERAL CHEMISTRY I,3,25,,,,"Guevara, Holly",
CHEM112A,GENERAL CHEMISTRY II,3,48,MWF,10:00:00,10:50:00,"Homan, Timothy",CHEM 111 OR CHEM 105
CHEM112B,GENERAL CHEMISTRY II,3,48,MWF,11:00:00,11:50:00,"Kriley, Charles",CHEM 111 OR CHEM 105
CHEM113L,GENERAL CHEMISTRY I LAB,1,32,W,14:00:00,16:59:00,"Guevara, Holly",CHEM 111
CHEM113M,GENERAL CHEMISTRY I LAB,1,32,R,10:05:00,12:59:00,"Kriley, Charles",CHEM 111
CHEM113N,GENERAL CHEMISTRY I LAB,1,32,R,14:30:00,17:29:00,"Guevara, Holly",CHEM 111
CHEM113O,GENERAL CHEMISTRY I LAB,1,32,F,14:00:00,16:59:00,"Guevara, Holly",CHEM 111
CHEM114L,GENERAL CHEMISTRY II LAB,1,32,W,14:00:00,16:59:00,"Kriley, Charles",CHEM 113; CHEM 105; CHEM 112
CHEM114M,GENERAL CHEMISTRY II LAB,1,32,R,10:05:00,12:59:00,"Guevara, Holly",CHEM 113; CHEM 105; CHEM 112
CHEM114N,GENERAL CHEMISTRY II LAB,1,32,R,14:30:00,17:29:00,"Kriley, Charles",CHEM 113; CHEM 105; CHEM 112
CHEM190O,STUDY: INTRO TO FORENSIC SCIENCE,3,25,,,,"Wong, Ven Ney",
CHEM227A,ANALYTICAL CHEMISTRY,4,28,MWF,10:00:00,10:50:00,"Wong, Ven Ney",CHEM 112; CHEM 114
CHEM227L,LABORATORY,0,14,T,14:30:00,17:29:00,"Wong, Ven Ney",
CHEM227M,LABORATORY,0,14,W,14:00:00,16:59:00,"Wong, Ven Ney",
CHEM231A,DESC INORG/BIOINORG CHEMISTRY,2,25,TR,10:05:00,10:55:00,"Kriley, Charles",CHEM 112; CHEM 114 OR CHEM 105
CHEM235A,CHEMISTRY IN CONTEXT,1,24,M,13:00:00,13:50:00,"Homan, Timothy",CHEM 112; CHEM 114
CHEM241A,ORGANIC CHEMISTRY I,4,30,MWF,8:00:00,8:50:00,"Cramer, Susan",CHEM 112; CHEM 114
CHEM241B,ORGANIC CHEMISTRY I,4,30,MWF,9:00:00,9:50:00,"Homan, Timothy",CHEM 112; CHEM 114
CHEM241L,LABORATORY,0,15,T,14:30:00,17:30:00,"Homan, Timothy",
CHEM241M,LABORATORY,0,15,W,14:00:00,16:59:00,"Homan, Timothy",
CHEM241N,LABORATORY,0,15,R,10:05:00,12:59:00,"Cramer, Susan",
CHEM241O,LABORATORY,0,15,R,14:30:00,17:30:00,"Homan, Timothy",
CHEM242A,ORGANIC CHEMISTRY II,4,20,MWF,8:00:00,8:50:00,"Cramer, Susan",CHEM 241
CHEM242B,ORGANIC CHEMISTRY II,4,20,MWF,9:00:00,9:50:00,"Cramer, Susan",CHEM 241
CHEM242L,LABORATORY,0,8,M,14:00:00,16:59:00,"Cramer, Susan",
CHEM242M,LABORATORY,0,5,T,14:30:00,17:30:00,"Cramer, Susan",
CHEM242N,LABORATORY,0,12,W,14:00:00,16:59:00,"Homan, Timothy",
CHEM242O,LABORATORY,0,12,R,14:30:00,17:30:00,"Homan, Timothy",
CHEM245A,INTRODUCTION TO MOLECULAR MODELING,2,12,R,14:30:00,16:30:00,"Falcetta, Michael",CHEM 241; MATH 161
CHEM342A,PHYSICAL CHEM OF BIOLOGICAL SYSTEMS,4,18,MWF,10:00:00,10:50:00,"Falcetta, Michael",CHEM 351; MATH 162
CHEM342L,LABORATORY,0,18,W,14:00:00,17:00:00,"Falcetta, Michael",
CHEM345A,MICROSCOPIC PHYSICAL CHEMISTRY:,4,16,MWF,11:00:00,11:50:00,"Augspurger, Joseph",CHEM 231; MATH 261
CHEM345L,LABORATORY,0,16,M,14:00:00,16:59:00,"Augspurger, Joseph",
CHEM346A,MACROSCOPIC PHYSICAL CHEMISTRY:,4,16,MWF,11:00:00,11:50:00,"Augspurger, Joseph",CHEM 112 OR CHEM 114; OR CHEM 105; MATH 261
CHEM346L,LABORATORY,0,16,M,14:00:00,16:59:00,"Augspurger, Joseph",
CHEM351A,BIOCHEMISTRY I,4,32,MWF,8:00:00,8:50:00,"Shaw, Kevin",
CHEM351L,LABORATORY,0,16,W,14:00:00,16:59:00,"Shaw, Kevin",CHEM 242
CHEM351M,LABORATORY,0,16,R,14:30:00,17:29:00,"Shaw, Kevin",CHEM 242
CHEM352A,BIOCHEMISTRY II,4,20,MWF,9:00:00,9:50:00,"Shaw, Kevin",CHEM 351
CHEM352L,LABORATORY,0,20,M,13:00:00,16:59:00,"Shaw, Kevin",
CHEM390A,STUDY: INTRO TO CLINICAL MEDICINE,1,24,T,18:30:00,20:10:00,"Bridger, Daniel",
CHEM406A,INSTRUMENTAL ANALYSIS,4,12,MW,10:00:00,10:50:00,"Wong, Ven Ney",CHEM 227
CHEM406L,LABORATORY,0,12,TR,14:30:00,17:30:00,"Wong, Ven Ney",
CHEM422A,INORGANIC SYNTHESIS LABORATORY,2,10,TR,14:30:00,17:30:00,"Kriley, Charles",CHEM 231; CHEM 242; CHEM 431
CHEM431A,ADV INORG/ORGANOMETALLIC  CHEMISTRY,2,25,MW,9:00:00,9:50:00,"Kriley, Charles",CHEM 231; CHEM 342 OR CHEM 345
CHEM441A,CRYSTAL STRUCTURE ANALYSIS,2,12,W,13:00:00,14:59:00,"Kriley, Charles",CHEM 231
CHEM451A,BIOCHEMISTRY: DATA AND ANALYSIS,3,20,TR,11:30:00,12:45:00,"Shaw, Kevin",CHEM 352
CHEM453A,ADVANCED MOLECULAR SPECTROSCOPY,2,12,TR,8:00:00,9:15:00,"Guevara, Holly",CHEM 242
CHEM458A,ADVANCED SYNTHESIS LABORATORY,2,12,MW,13:00:00,15:59:00,"Guevara, Holly",CHEM 242
CHEM463A,POLYMER CHEMISTRY,2,16,TR,8:15:00,9:05:00,"Cramer, Susan",CHEM 242
CHEM466A,ADV ORGANIC CHEM,2,12,TR,10:05:00,10:55:00,"Homan, Timothy",CHEM 242
CHEM487A,BIOCHEMISTRY SEMINAR,1,6,F,13:00:00,13:50:00,"Shaw, Kevin",
CHEM487B,BIOCHEMISTRY SEMINAR,1,6,F,14:00:00,14:50:00,"Shaw, Kevin",
CHEM488A,CHEMISTRY SEMINAR,1,6,F,14:00:00,14:50:00,"Falcetta, Michael",
CMIN122A,INTRO TO CHRISTIAN MINISTRIES,3,30,MW,12:30:00,13:45:00,"Robbins, David",
CMIN228A,CHRIST AND CULTURE,3,24,MW,8:35:00,9:50:00,"Robbins, David",
CMIN238A,SPIRITUAL FORMATION,3,25,MWF,10:00:00,10:50:00,"Shepson, Donald",
CMIN248A,DISCIPLESHIP AND EVANGELISM,3,25,TR,16:00:00,17:15:00,"Shepson, Donald",
CMIN258A,COMMUNICATING THE GOSPEL,3,30,MW,8:35:00,9:50:00,"Robbins, David",
CMIN321A,LEADERSHIP/MINISTRY ADMINISTRATION,3,24,MW,11:00:00,12:15:00,"Robbins, David",
CMIN361A,WORSHIP AND PRAYER MINISTRY,3,25,MWF,14:00:00,14:50:00,"Shepson, Donald",
CMIN412A,BIBLICAL COUNSELING,3,25,MWF,14:00:00,14:50:00,"Shepson, Donald",
COMM104A,PUBLIC SPEAKING & RHETORIC,3,20,MWF,15:00:00,15:50:00,"Pritchard, Patricia",
COMM104B,PUBLIC SPEAKING & RHETORIC,3,20,TR,11:30:00,12:45:00,"Edwards, Jason",
COMM109A,FORENSICS,1,15,M,15:00:00,15:50:00,"Edwards, Jason",
COMM110A,PRINCIPLES OF MEDIA,3,30,T,18:30:00,21:00:00,"Hammond, Ryan",
COMM135A,WRITING FOR THE MEDIA,3,18,MWF,8:00:00,8:50:00,"Miller, Kimberly",
COMM135B,WRITING FOR THE MEDIA,3,18,MWF,9:00:00,9:50:00,"Miller, Kimberly",
COMM212A,RESEARCH METHODS IN COMM,3,25,W,18:30:00,21:00:00,"Catanese, Alexander",COMM 110 OR COMM 207
COMM222A,FILM HISTORY & THEORY,3,20,TR,13:00:00,14:15:00,"Miller, Kimberly",
COMM225A,INTERCULTURAL COMMUNICATION,3,25,MWF,12:00:00,12:50:00,"Pritchard, Patricia",
COMM235A,JOURNALISM,3,18,MWF,13:00:00,13:50:00,"Bandy, Gregory",
COMM240A,MEDIA CRITICISM,3,20,MWF,14:00:00,14:50:00,"Bandy, Gregory",
COMM245A,DIGITAL PHOTOGRAPHY,3,12,MWF,10:00:00,10:50:00,"Bandy, Gregory",
COMM250A,DIGITAL CITIZENSHIP,3,20,T,18:30:00,21:00:00,"Hammond, Ryan",COMM 110
COMM272A,DEVELOPING CHARACTERS,3,20,TR,10:05:00,11:20:00,"Miller, Kimberly",
COMM300A,PUBLIC RELATIONS,3,25,,,,"Lingwall, James",COMM 135 OR  COMM 235
COMM304A,INTERPERSONAL COMMUNICATION,3,20,MWF,13:00:00,13:50:00,"Pritchard, Patricia",COMM 207
COMM352A,CHRISTIAN FAITH & CINEMA,3,20,TR,13:00:00,14:15:00,"Miller, Kimberly",
COMM359A,SCREENWRITING,3,20,MWF,10:00:00,10:50:00,"Miller, Kimberly",
COMM378A,VIDEO PRODUCTION,3,12,TR,11:30:00,12:45:00,"Bandy, Gregory",
COMM378B,VIDEO PRODUCTION,3,12,TR,14:30:00,15:45:00,"Bandy, Gregory",
COMM388A,DOCUMENTARY FILM,3,12,TR,10:05:00,11:20:00,"Bandy, Gregory",
COMM405A,SPECIAL EVENTS AND PROMOTIONS,3,18,MWF,11:00:00,11:50:00,"Bandy, Gregory",
COMM488A,SEMINAR IN COMMUNICATION,3,15,TR,10:05:00,11:20:00,"Miller, Kimberly",
COMP141A,COMP PROGRAMMING I,3,32,MWF,12:00:00,12:50:00,"Dellinger, Brian",
COMP141B,COMP PROGRAMMING I,3,32,MWF,13:00:00,13:50:00,"Dellinger, Brian",
COMP141C,COMP PROGRAMMING I,3,32,MWF,15:00:00,15:50:00,"Valentine, David",
COMP141O,COMP PROGRAMMING I,3,25,,,,"Hutchins, Jonathan",
COMP155A,INTRO TO COMPUTER SCIENCE,3,32,TR,11:30:00,12:45:00,"Valentine, David",
COMP155B,INTRO TO COMPUTER SCIENCE,3,32,TR,14:30:00,15:45:00,"Valentine, David",
COMP205A,ETHICS FAITH AND CONSCIOUS MIND,3,32,TR,10:05:00,11:20:00,"Dellinger, Brian",HUMA 102 
COMP205B,ETHICS FAITH AND CONSCIOUS MIND,3,32,TR,11:30:00,12:45:00,"Dellinger, Brian",HUMA 102 
COMP220A,COMP PROGRAMMING II,3,32,MWF,9:00:00,9:50:00,"Hutchins, Jonathan",COMP 141
COMP220B,COMP PROGRAMMING II,3,32,MWF,12:00:00,12:50:00,"Hutchins, Jonathan",COMP 141
COMP222A,INTRO TO DATA STRUCT & ALGORITHMS,3,35,MWF,10:00:00,10:50:00,"Hutchins, Jonathan",COMP 220
COMP222B,INTRO TO DATA STRUCT & ALGORITHMS,3,35,MWF,11:00:00,11:50:00,"Hutchins, Jonathan",COMP 220
COMP233A,PARALLEL COMPUTING,3,50,MWF,11:00:00,11:50:00,"Valentine, David",COMP 220
COMP244A,DATABASE MGT SYSTEMS,3,30,TR,13:00:00,14:15:00,"Al Moakar, Lory",COMP 141
COMP244B,DATABASE MGT SYSTEMS,3,23,TR,11:30:00,12:45:00,"Al Moakar, Lory",COMP 141
COMP314A,AUTOMATA THEORY,3,40,MWF,10:00:00,10:50:00,"Dellinger, Brian",COMP 220; MATH 213
COMP325A,COMPUTER ARCHITECTURE/ORG,3,25,MWF,9:00:00,9:50:00,"Valentine, David",COMP 233
COMP325B,COMPUTER ARCHITECTURE/ORG,3,25,MWF,14:00:00,14:50:00,"Valentine, David",COMP 233
COMP340A,OPERATING SYSTEMS,3,35,MWF,12:00:00,12:50:00,"Dickinson, Brian",COMP 222; COMP 325 OR ELEE 204
COMP340B,OPERATING SYSTEMS,3,35,MWF,14:00:00,14:50:00,"Al Moakar, Lory",COMP 222; COMP 325 OR ELEE 204
COMP342A,DATA COMM & NETWORKING,3,35,MWF,13:00:00,13:50:00,"Al Moakar, Lory",COMP 220
COMP342B,DATA COMM & NETWORKING,3,35,MWF,14:00:00,14:50:00,"Al Moakar, Lory",COMP 220
COMP350A,SOFTWARE ENGINEERING,3,30,TR,11:30:00,12:45:00,"Valentine, David",COMP 220
COMP350B,SOFTWARE ENGINEERING,3,30,TR,14:30:00,15:45:00,"Valentine, David",COMP 220
COMP401A,iOS PROGRAMMING,3,35,MWF,11:00:00,11:50:00,"Dickinson, Brian",COMP 222
COMP422A,INTRO TO ALGORITHMS,3,38,MWF,15:00:00,15:50:00,"Dellinger, Brian",COMP 222; MATH 213
COMP435A,INTRODUCTION TO MACHINE LEARNING,3,33,TR,10:05:00,11:20:00,"Hutchins, Jonathan",COMP 222; MATH 214 OR MATH222; MATH 331 OR STAT
COMP441A,2D GAME DESIGN & DEVELOPMENT,3,35,TR,10:05:00,11:20:00,"Dellinger, Brian",COMP 222
COMP442A,WEB PROGRAMMING TECHNOLOGIES,3,35,TR,13:00:00,14:15:00,"Dickinson, Brian",COMP 220; COMP 244
COMP443A,PROGRAMMING LANGUAGES,3,21,TR,13:00:00,14:15:00,"Dickinson, Brian",COMP 222
COMP443B,PROGRAMMING LANGUAGES,3,21,TR,14:30:00,15:45:00,"Dickinson, Brian",COMP 222
COMP445A,INTRO TO ARTIFICIAL INTELLIGENCE,3,35,MWF,15:00:00,15:50:00,"Hutchins, Jonathan",COMP 222; MATH 214 OR MATH 331 OR ENGR 274
COMP446A,3D GAME DESIGN & DEVELOPMENT,3,35,MWF,14:00:00,14:50:00,"Dellinger, Brian",COMP 441
COMP448A,COMPUTER SECURITY,3,35,MWF,12:00:00,12:50:00,"Al Moakar, Lory",COMP 233
COMP451A,SENIOR PROJECT I,2,26,MW,9:00:00,9:50:00,"Wolfe, Britton",COMP 350
COMP451B,SENIOR PROJECT I,2,26,MW,10:00:00,10:50:00,"Wolfe, Britton",COMP 350
COMP452A,SENIOR PROJECT II,3,26,MWF,9:00:00,9:50:00,"Wolfe, Britton",COMP 451
COMP452B,SENIOR PROJECT II,3,26,MWF,10:00:00,10:50:00,"Wolfe, Britton",COMP 451
COMP475A,ADVANCED SECURITY,3,35,MWF,11:00:00,11:50:00,"Al Moakar, Lory",COMP 205; COMP 340; COMP 342; COMP 448
DESI101A,INTRO TO VISUAL COMM DESIGN,3,15,TR,13:00:00,14:15:00,"Mucha, Nathanael",
DESI102A,DESIGN THINKING,3,15,T,18:30:00,21:00:00,"Catanese, Alexander",
DESI201A,VISUAL COMMUNICATION DESIGN I,3,15,TR,10:05:00,11:20:00,"Mucha, Nathanael",DESI 101
DESI202A,VISUAL COMMUNICATION DESIGN II,3,15,TR,10:05:00,11:20:00,"Mucha, Nathanael",DESI 201
DESI210A,INTERACTIVE DESIGN AND USER EXP,3,15,W,18:30:00,21:00:00,"Mucha, Nathanael",DESI 101
DESI390A,STUDY: VISUAL COMM DESIGN III,3,15,TR,14:30:00,15:45:00,"Mucha, Nathanael",DESI 101
ECON101A,PRIN OF ECONOMICS-MICRO,3,50,MWF,10:00:00,10:50:00,"Fuller, Caleb",
ECON101B,PRIN OF ECONOMICS-MICRO,3,40,MWF,11:00:00,11:50:00,"Fuller, Caleb",
ECON102A,PRIN OF ECONOMICS-MACRO,3,40,TR,8:00:00,9:15:00,"Herbener, Jeffrey",
ECON102B,PRIN OF ECONOMICS-MACRO,3,40,TR,11:30:00,12:45:00,"Herbener, Jeffrey",
ECON120A,FOUNDATIONS OF ECONOMICS,3,35,MWF,14:00:00,14:50:00,"Ritenour, Shawn",
ECON120B,FOUNDATIONS OF ECONOMICS,3,40,MWF,15:00:00,15:50:00,"Ritenour, Shawn",
ECON202A,ECON EXPANS & DEVELOP,3,24,TR,14:30:00,15:45:00,"Ritenour, Shawn",
ECON290A,STUDY: FAITH & FREEDOM CONFERENCE,1,50,,,,"Rider, Robert",
